trip_id,user_id,name_user,rut_user,vehicle_id,booking_time,start_time,end_time,status_id,travel_dist,membership_id,price_amount,price_tax,price_total,start_lat,start_lon,end_lat,end_lon
15,491,Stephen Wood,23195978,18,2022-07-18 09:39:28,2022-07-18 09:49:28,2022-07-18 23:44:28,5,7667,3,27449,5215.31,32664,-33.59955607023645,-70.81879062917372,-34.341456891178844,-71.07397186381122
16,665,Mr. Ralph Johnson,48357152,63,2022-05-16 04:28:27,2022-05-16 04:37:27,2022-05-17 03:20:27,3,6335,1,28549,5424.31,33973,-34.211833758342735,-71.46712331637387,-34.11637320152683,-71.00470329478749
17,453,April Daniel,79344846,96,2022-06-23 11:01:07,2022-06-23 11:09:07,2022-06-23 22:38:07,2,0,2,7444,1414.3600000000001,8858,-33.59353528383998,-71.49604753637023,-33.79083394508272,-71.03696462589555
18,886,William Mills,93926887,18,2022-04-24 10:16:07,2022-04-24 10:20:07,2022-04-24 22:35:07,2,165,1,4752,902.88,5654,-34.37088917103838,-70.6131264952066,-34.332259426458606,-71.00629059144563
19,158,Dorothy Ritter,42243239,15,2022-08-09 04:53:22,2022-08-09 05:06:22,2022-08-10 00:51:22,4,80088,1,11676,2218.44,13894,-33.82154569995669,-70.67105403241504,-33.92712100396788,-70.81699421582296
20,504,Caroline Hurst,57794984,47,2022-12-21 04:54:40,2022-12-21 05:00:40,2022-12-21 12:54:40,6,59120975,1,16143,3067.17,19210,-33.898440442586676,-70.8214395400058,-34.08017286061568,-70.58320530739442
21,230,Heather Harmon,85516496,98,2022-07-13 05:46:38,2022-07-13 05:59:38,2022-07-13 08:40:38,2,173,2,15359,2918.21,18277,-34.023875645505264,-70.71985203998074,-33.849082078835764,-71.004286085212
22,644,Shannon Carney,22516340,72,2022-12-14 15:51:17,2022-12-14 16:02:17,2022-12-14 19:10:17,5,9,2,2267,430.73,2697,-34.296272212670864,-70.59524535229389,-33.77315510772843,-71.30195190035468
23,526,Anne Adams,84837657,49,2022-12-10 00:33:45,2022-12-10 00:44:45,2022-12-10 17:18:45,2,6,2,13624,2588.56,16212,-34.11132692316045,-70.72463009293878,-33.65190742187899,-70.67477413015635
24,241,Jerry Frank,79261782,13,2022-06-27 02:12:23,2022-06-27 02:26:23,2022-06-27 20:25:23,1,45374,1,4843,920.17,5763,-34.191123773439834,-71.33088502534383,-34.38794102157388,-71.13674145745959
25,845,Lynn Robinson,66561250,33,2022-09-21 15:26:45,2022-09-21 15:33:45,2022-09-21 22:38:45,5,889,3,19151,3638.69,22789,-33.6800391288467,-70.67255904195673,-33.718827966434596,-71.13056614885998
26,715,Terrence Gonzales,87476865,63,2022-08-06 10:06:09,2022-08-06 10:15:09,2022-08-07 09:44:09,4,173,3,10921,2074.9900000000002,12995,-34.189590717463375,-71.009154198349,-34.273224395034234,-71.0769162976442
27,535,Patrick Holland,91581614,61,2022-06-03 22:46:02,2022-06-03 22:54:02,2022-06-03 23:10:02,1,476978,1,20579,3910.01,24489,-34.180568780289484,-71.41206943959128,-33.77256492993691,-70.79020397889741
28,590,Erin Mccarthy,38708964,62,2022-08-27 03:28:41,2022-08-27 03:29:41,2022-08-27 16:22:41,4,71575000,1,27723,5267.37,32990,-33.83361220256694,-70.74145307350851,-33.90801753543706,-71.23374245271275
29,351,Steven Anderson,42629423,27,2022-11-25 17:53:18,2022-11-25 18:08:18,2022-11-25 19:41:18,6,236239774,3,4168,791.92,4959,-33.85887908224044,-71.24491057503118,-34.16959483156393,-70.9277083288393
30,53,Tiffany Harmon,32221566,70,2022-07-08 22:21:10,2022-07-08 22:35:10,2022-07-08 22:50:10,1,6265254,2,28810,5473.9,34283,-33.944077083550546,-70.86022180961669,-34.34443579495324,-71.37548722736726
31,181,John Orr,38690557,18,2022-08-30 12:05:51,2022-08-30 12:11:51,2022-08-30 22:01:51,2,1551,1,14586,2771.34,17357,-33.959585243252896,-71.1018156426236,-33.90471817330389,-70.77864185992993
32,649,Victoria Conway,87596799,19,2022-12-24 19:56:43,2022-12-24 19:58:43,2022-12-25 19:46:43,3,504,3,16445,3124.55,19569,-33.660915643011016,-70.6001615483234,-34.05371088045903,-71.43688040906062
33,786,Elizabeth Wright,31895233,83,2022-02-13 17:10:52,2022-02-13 17:16:52,2022-02-14 09:03:52,4,8423922,2,11718,2226.42,13944,-34.11389250214954,-71.32894523764186,-34.49956071426223,-71.43995741081902
34,740,Christopher Smith,13023148,5,2022-04-24 06:58:53,2022-04-24 07:07:53,2022-04-25 01:56:53,5,41,3,17092,3247.48,20339,-34.32732992942838,-70.8315570048673,-34.09754909746377,-70.96957829239396
35,233,Kayla Stevenson,54252946,73,2022-06-15 08:15:31,2022-06-15 08:18:31,2022-06-15 09:35:31,6,950322,2,4998,949.62,5947,-33.9260801933277,-70.97995233879176,-34.08323248447586,-71.16613025626272
36,67,Aaron Young,50702200,88,2022-11-12 14:58:15,2022-11-12 15:10:15,2022-11-13 09:48:15,3,391,2,29885,5678.15,35563,-33.68076744696867,-71.18852923229473,-33.86633324084034,-71.29220317098434
37,162,Joshua Salas,12446449,30,2022-07-26 04:44:32,2022-07-26 04:54:32,2022-07-26 19:07:32,6,60832085,3,16591,3152.29,19743,-33.52437051703788,-70.70226660655119,-33.7409034636361,-71.28233841891378
38,919,Cynthia Stevens,90354533,18,2022-01-16 00:52:12,2022-01-16 01:01:12,2022-01-16 22:13:12,4,603577188,3,4887,928.53,5815,-33.97147059282319,-70.66301546622574,-34.32903816353791,-70.74922528436018
39,116,Thomas Perez,25826274,69,2022-09-18 15:49:40,2022-09-18 15:59:40,2022-09-19 14:15:40,6,61560097,2,24023,4564.37,28587,-34.3575970571631,-71.39871894766989,-34.12050842156199,-70.68622605715608
40,229,Mr. Gavin Whitehead,90199014,73,2022-03-03 03:05:40,2022-03-03 03:13:40,2022-03-03 10:00:40,6,796,1,10147,1927.93,12074,-33.69782995153228,-70.87270061575568,-34.46723031223326,-70.53400562953112
41,545,Danielle Novak,80146181,18,2022-09-10 03:45:59,2022-09-10 03:48:59,2022-09-10 17:02:59,2,15,3,27105,5149.95,32254,-33.674335845051786,-70.80521813015947,-34.18129622805786,-71.06672577007987
42,945,Tracey Perkins,49929670,19,2022-12-17 20:22:35,2022-12-17 20:23:35,2022-12-18 12:15:35,2,20633,3,22511,4277.09,26788,-34.021696986053826,-70.74324005591072,-34.16955697887383,-70.65179857489684
43,125,John Meyer,11433618,40,2022-04-25 02:55:38,2022-04-25 03:08:38,2022-04-25 12:46:38,5,46894,2,26388,5013.72,31401,-34.441783224099595,-70.95520832895161,-33.53803582110876,-71.40923795056457
44,479,Heather Cox,70183001,24,2022-10-11 23:07:21,2022-10-11 23:18:21,2022-10-12 13:22:21,1,83559,2,5917,1124.23,7041,-34.292110911261595,-71.1438821273981,-33.96625152556045,-71.24110598372955
45,803,David Hamilton,18830637,59,2022-01-18 04:20:28,2022-01-18 04:24:28,2022-01-19 03:39:28,4,293932414,3,6301,1197.19,7498,-34.22924957036192,-70.78790581734083,-33.694216862943506,-70.96307338736251
46,661,Rebecca Simmons DVM,49300221,48,2022-09-03 13:07:20,2022-09-03 13:08:20,2022-09-04 05:29:20,1,9448,2,2838,539.22,3377,-33.56139900205898,-70.83507947398152,-33.53217423067804,-71.07773650042664
47,210,Aaron Maddox,52557886,60,2022-09-04 07:14:41,2022-09-04 07:25:41,2022-09-05 07:00:41,5,683606,1,10692,2031.48,12723,-33.53216252270205,-70.91376068253528,-33.76445283016053,-70.98039191872985
48,854,Ryan Hernandez,23668356,46,2022-09-13 21:24:34,2022-09-13 21:28:34,2022-09-14 07:05:34,2,6335631,2,2947,559.93,3506,-34.27406986749664,-70.50024407855418,-33.72210580117005,-70.56750390371052
49,995,Noah Patterson,64913780,38,2022-06-20 03:37:24,2022-06-20 03:39:24,2022-06-20 11:22:24,1,9,1,21649,4113.31,25762,-33.58962501771813,-71.44128895703906,-34.44906881215702,-70.73287716785319
50,647,Thomas Cook Jr.,77235554,87,2022-03-13 09:40:25,2022-03-13 09:44:25,2022-03-14 04:14:25,2,708,3,9711,1845.09,11556,-33.8159094793753,-71.34035482275281,-34.175326644847175,-71.4615438940177
51,256,Patrick Hanson,16713451,21,2022-12-28 04:33:00,2022-12-28 04:38:00,2022-12-29 00:48:00,6,9,1,7940,1508.6,9448,-34.16286096131001,-70.63304270054861,-33.6342334322383,-71.15278300677292
52,198,Kristi Hubbard PhD,81186437,73,2022-05-02 09:41:00,2022-05-02 09:48:00,2022-05-02 19:32:00,5,14,3,21232,4034.08,25266,-34.107482167109886,-70.52925792381798,-34.45490932950256,-70.86315930418267
53,230,Heather Harmon,85516496,80,2022-03-13 19:43:36,2022-03-13 19:54:36,2022-03-13 21:26:36,4,93147,3,7254,1378.26,8632,-34.310836142923876,-70.76756174504217,-33.9778522545548,-70.6800846812626
54,408,Faith Lewis,97435479,79,2022-01-15 19:08:50,2022-01-15 19:19:50,2022-01-16 14:51:50,5,191,3,16628,3159.32,19787,-33.53805273011514,-70.76146155008146,-34.19869191191454,-71.39275815924962
55,996,Craig Baxter,92751894,62,2022-03-17 11:07:34,2022-03-17 11:16:34,2022-03-18 04:54:34,6,8216656,2,10659,2025.21,12684,-33.78502949809067,-71.2719734711139,-34.189756242787844,-70.91759108184651
56,751,Alexander Williamson,36494619,98,2022-08-15 11:17:20,2022-08-15 11:20:20,2022-08-16 08:08:20,1,2046,1,12317,2340.23,14657,-34.271347515039984,-70.88452811970639,-33.561166051488215,-71.33739310306288
57,101,Dawn Schmitt,81933657,14,2022-11-16 16:34:29,2022-11-16 16:46:29,2022-11-17 14:39:29,4,26771489,1,5242,995.98,6237,-34.02473183806498,-70.75305560541108,-34.13924317759486,-70.69158567133661
58,619,Isaiah Davidson,56661124,53,2022-02-25 08:43:28,2022-02-25 08:51:28,2022-02-26 02:03:28,1,1352,1,21245,4036.55,25281,-34.16059308043524,-70.55133994112869,-33.940626577906094,-70.94887320388384
59,691,Daniel Martin,39099502,45,2022-12-16 03:08:36,2022-12-16 03:14:36,2022-12-16 22:34:36,1,32013,2,1197,227.43,1424,-34.42292994442235,-70.68969754007045,-33.55538537634026,-71.30267606732944
60,96,Ellen Thomas,44074735,32,2022-06-05 20:59:33,2022-06-05 21:04:33,2022-06-06 10:05:33,4,65322932,3,1893,359.67,2252,-34.05067927892885,-71.17509625881564,-34.32212403424119,-71.4586026500451
61,975,Alicia Burgess,51594756,45,2022-11-13 14:15:40,2022-11-13 14:21:40,2022-11-14 04:49:40,4,27695672,2,12641,2401.79,15042,-33.86946076823967,-71.2698376581975,-33.60664136875678,-70.94888226333843
62,556,James Thompson,99643766,6,2022-04-10 09:21:49,2022-04-10 09:35:49,2022-04-11 05:42:49,2,27,1,10748,2042.1200000000001,12790,-33.83502715218451,-70.90943063956202,-33.617092558958966,-71.48192199803957
63,386,Melissa Chandler,76298817,94,2022-03-18 14:02:29,2022-03-18 14:11:29,2022-03-19 01:46:29,3,441618408,1,12324,2341.56,14665,-33.5815455281637,-71.05372066381274,-34.06184080360579,-70.96728857785016
64,906,Nicholas Montgomery,98133898,56,2022-11-28 20:53:58,2022-11-28 20:59:58,2022-11-29 20:33:58,4,143064,3,1068,202.92000000000002,1270,-34.19553117084452,-70.85442003768411,-34.272043238491044,-70.99575963131173
65,863,Cheryl Jefferson,11287812,49,2022-11-30 23:47:48,2022-12-01 00:02:48,2022-12-01 12:03:48,1,737,3,28270,5371.3,33641,-34.022162409684505,-70.73276204187856,-34.10485032000455,-70.90848742359744
66,404,Geoffrey Thompson,21678989,14,2022-01-03 05:18:11,2022-01-03 05:30:11,2022-01-03 20:29:11,1,73647,1,15242,2895.98,18137,-34.10325525456882,-70.89058719515619,-34.23569026773057,-70.60450048021154
67,215,Marcus Hartman,59399911,61,2022-09-08 14:10:17,2022-09-08 14:24:17,2022-09-09 03:15:17,2,3392,1,22907,4352.33,27259,-34.36465037372392,-70.58044045957031,-34.16802698699434,-71.44030710326243
68,522,Mr. Michael Armstrong,61457379,27,2022-06-18 16:04:43,2022-06-18 16:19:43,2022-06-19 13:40:43,5,46103431,3,13620,2587.8,16207,-34.48498437916877,-70.68565355911464,-34.22904883628153,-71.25502943979807
69,147,Kevin Long,36028884,47,2022-05-08 04:04:53,2022-05-08 04:06:53,2022-05-08 23:51:53,4,5156495,1,8672,1647.68,10319,-33.86981096331774,-70.71306281952442,-34.29165906347427,-71.48271645177397
70,283,Christine Nelson,75102480,21,2022-10-13 13:28:52,2022-10-13 13:33:52,2022-10-13 21:44:52,1,715747,1,14595,2773.05,17368,-34.16338915920721,-71.41106070700246,-34.1748659542035,-71.16699443969343
71,595,Michaela Acosta,95995472,97,2022-08-03 14:39:49,2022-08-03 14:47:49,2022-08-04 07:01:49,1,61442225,3,22738,4320.22,27058,-33.75323817421718,-70.67583918756424,-34.488091194163864,-70.55492742119694
72,223,David Pham,95686222,95,2022-12-08 18:44:22,2022-12-08 18:51:22,2022-12-08 19:20:22,3,932,3,25178,4783.82,29961,-33.664877174774205,-70.90987640094593,-33.88416974305385,-71.37739439264364
73,275,Angela Sanchez,30752723,67,2022-07-01 13:41:03,2022-07-01 13:46:03,2022-07-02 11:20:03,1,90807,3,4731,898.89,5629,-34.20999271903888,-71.401913380142,-34.23464671304993,-71.43843929268036
74,836,Jennifer Allen,11429215,94,2022-01-25 20:03:42,2022-01-25 20:08:42,2022-01-25 22:39:42,3,645,1,29933,5687.27,35620,-34.26069332221796,-70.8803794954606,-33.94255024811351,-71.19673607062082
75,817,Ricardo Gross,51655647,26,2022-12-23 10:56:16,2022-12-23 11:10:16,2022-12-24 09:56:16,3,13,2,11798,2241.62,14039,-33.525228966134826,-70.65737331906969,-33.63340586997851,-70.75095955874593
76,911,Alec Morse,41006045,38,2022-02-01 03:59:33,2022-02-01 04:14:33,2022-02-02 01:42:33,1,90592,3,17861,3393.59,21254,-33.69707673691079,-70.9805892663322,-33.73885135425057,-71.12796529642593
77,210,Aaron Maddox,52557886,41,2022-11-30 21:02:12,2022-11-30 21:15:12,2022-12-01 01:40:12,1,62543,2,28143,5347.17,33490,-33.851325415869624,-70.85092888528553,-33.699936214916484,-70.70825733370363
78,725,Jill Martin,92235880,15,2022-04-03 03:18:42,2022-04-03 03:31:42,2022-04-03 07:35:42,6,87,1,24659,4685.21,29344,-33.54922257298406,-70.83566588876647,-33.51998443032905,-71.07113021159836
79,12,Jason Goodwin,63867624,11,2022-06-14 10:40:53,2022-06-14 10:54:53,2022-06-14 11:12:53,3,84345169,1,16702,3173.38,19875,-33.93434421159146,-70.53729806515821,-34.34298531674359,-71.26710179275655
80,993,Erika Horton,70771262,70,2022-04-21 21:18:12,2022-04-21 21:32:12,2022-04-21 23:55:12,3,5650117,1,28165,5351.35,33516,-34.07284532139674,-70.9620982887807,-34.23713601302408,-70.84418383564854
81,207,Amy Morris,60465115,98,2022-05-19 21:10:37,2022-05-19 21:16:37,2022-05-20 03:15:37,4,80,2,1322,251.18,1573,-33.71411016663225,-71.26345131879476,-33.83823629270563,-71.4949184199128
82,919,Cynthia Stevens,90354533,98,2022-09-18 06:32:06,2022-09-18 06:46:06,2022-09-18 18:42:06,4,129328,1,29547,5613.93,35160,-34.232825120489835,-71.19783561426455,-34.480235313473145,-70.71848839488908
83,636,Jeffrey Johnson,27485136,35,2022-06-19 18:35:16,2022-06-19 18:41:16,2022-06-20 09:13:16,3,26,3,4059,771.21,4830,-33.505463075714026,-70.74302807906167,-33.65185328174126,-71.44163851793878
84,569,Angela Ramirez,59630823,78,2022-06-25 07:58:11,2022-06-25 08:10:11,2022-06-26 06:52:11,1,63642,2,26987,5127.53,32114,-34.360246208194596,-70.58657277370844,-34.26931000753344,-70.9301220631186
85,415,Thomas Mcfarland,30370887,31,2022-07-08 02:34:51,2022-07-08 02:42:51,2022-07-08 22:09:51,4,1114377,3,4051,769.69,4820,-34.030204780211285,-70.6716067247106,-34.34822894298654,-70.6884373056872
86,789,Melissa Rios,72392983,57,2022-11-27 03:27:13,2022-11-27 03:35:13,2022-11-27 22:05:13,5,29363,3,12453,2366.07,14819,-33.79000100823855,-70.69961868157337,-34.030192366721785,-71.46635987401523
87,474,Ashley Robinson,96914525,57,2022-08-16 20:47:45,2022-08-16 20:48:45,2022-08-17 16:44:45,5,50,3,3058,581.02,3639,-34.43642994431348,-71.15023836917855,-34.48769130990241,-70.9574861043677
88,5,Dylan Russell,51861905,25,2022-01-14 12:27:58,2022-01-14 12:35:58,2022-01-14 17:36:58,1,53,2,19542,3712.98,23254,-34.01991603001829,-71.2642631335947,-34.46310742334369,-71.27342117052488
89,394,Joshua Johnson,82709615,4,2022-04-16 19:42:23,2022-04-16 19:47:23,2022-04-16 21:08:23,2,6,3,27259,5179.21,32438,-33.9581829125661,-70.69040703974473,-34.35373948171558,-71.47539240510135
90,976,Mr. Joe Lewis MD,49447381,13,2022-02-21 15:39:14,2022-02-21 15:45:14,2022-02-22 01:40:14,6,45917185,2,24890,4729.1,29619,-33.51821553458496,-71.1384679366288,-33.80385722419777,-71.3765298478329
91,274,Kimberly Myers,23972972,29,2022-11-28 00:50:25,2022-11-28 01:01:25,2022-11-28 21:06:25,1,996,3,8685,1650.15,10335,-33.83270584913623,-71.49035952181477,-33.666283604306045,-70.57656064542408
92,625,Melvin Roman,57232389,25,2022-07-18 01:25:28,2022-07-18 01:35:28,2022-07-18 07:12:28,6,74160809,1,20381,3872.39,24253,-34.07477289215742,-71.13400496328016,-34.33188898352886,-70.54195110822644
93,356,Michelle Lee,85607742,26,2022-05-13 07:57:54,2022-05-13 07:58:54,2022-05-13 22:03:54,2,88319959,1,1297,246.43,1543,-34.13365786319777,-70.50421086514972,-33.93727219338669,-70.99448412051882
94,162,Joshua Salas,12446449,25,2022-05-30 05:19:36,2022-05-30 05:26:36,2022-05-30 15:21:36,4,991,2,7842,1489.98,9331,-34.22223161914735,-70.89920132521313,-33.603258632186616,-70.85780849444623
95,319,Megan Warner,15269668,37,2022-03-02 09:44:46,2022-03-02 09:50:46,2022-03-02 13:34:46,3,566402622,3,11388,2163.72,13551,-33.64225056134763,-70.65547845011852,-33.569600686168044,-70.89725545907535
96,567,Cesar Vazquez,18108525,68,2022-09-20 03:04:27,2022-09-20 03:05:27,2022-09-20 07:18:27,3,779645044,1,16884,3207.96,20091,-34.130078388010624,-71.22666297290138,-33.585670297532154,-71.30518677424978
97,815,Gary Briggs,33219739,37,2022-08-06 15:38:44,2022-08-06 15:49:44,2022-08-06 20:35:44,5,83,3,29711,5645.09,35356,-33.60096145703159,-70.83971922815452,-34.041812620963924,-71.32668889057274
98,790,Shelby Brown,72263688,16,2022-07-04 05:58:38,2022-07-04 06:13:38,2022-07-04 22:54:38,4,2103465,2,29928,5686.32,35614,-34.3173763065509,-70.7589784477655,-34.354499827769956,-71.06227008215515
99,977,Adam Thomas,44171745,27,2022-10-19 23:26:42,2022-10-19 23:27:42,2022-10-20 06:09:42,1,199872,3,10791,2050.29,12841,-33.69371181118381,-71.19609892897172,-34.40430436946865,-70.51032504224727
100,95,Brenda Moore,16713800,57,2022-07-09 01:45:24,2022-07-09 01:58:24,2022-07-09 02:57:24,2,3,2,27076,5144.4400000000005,32220,-34.10227041095513,-71.3809648474639,-34.02847293119638,-70.94765354685737
101,146,Megan Pittman,66138314,27,2022-05-18 02:20:52,2022-05-18 02:32:52,2022-05-18 12:06:52,2,36900204,2,5967,1133.73,7100,-34.44009862627455,-71.09693389760389,-33.85650070874263,-71.47106271635178
102,793,Chad Beck,97142162,10,2022-03-13 02:48:02,2022-03-13 02:55:02,2022-03-13 11:01:02,6,7953970,2,4838,919.22,5757,-34.04004938717019,-71.17744919769005,-33.51370464002528,-70.60745254557676
103,422,Mark Medina,33143662,67,2022-01-25 14:46:52,2022-01-25 14:56:52,2022-01-25 20:00:52,6,92436824,3,3075,584.25,3659,-33.983139636015295,-71.46243580355898,-33.88415574723138,-70.6962967898066
104,512,Jenna Williams,30854961,41,2022-08-18 07:20:28,2022-08-18 07:25:28,2022-08-18 11:07:28,1,28961,3,26661,5065.59,31726,-33.99145320179815,-71.23389833351422,-34.02319946326322,-70.58183901051055
105,590,Erin Mccarthy,38708964,75,2022-06-30 19:49:03,2022-06-30 20:04:03,2022-07-01 01:28:03,5,659,1,26204,4978.76,31182,-33.537285174170826,-71.00996447585608,-33.903129934187746,-71.1190576841538
106,847,Leslie Nunez,91387969,74,2022-01-04 21:47:12,2022-01-04 22:00:12,2022-01-05 19:32:12,5,898296522,2,28477,5410.63,33887,-33.71377806959725,-70.52582768765862,-34.389529533751805,-70.51794537609311
107,313,Tiffany Pierce,28109190,17,2022-08-12 15:31:42,2022-08-12 15:42:42,2022-08-12 18:14:42,5,6,2,26872,5105.68,31977,-33.759136596982955,-71.45024389651157,-34.44056188637907,-70.73813886736738
108,956,Holly Stokes,35255661,19,2022-11-27 11:50:22,2022-11-27 12:01:22,2022-11-28 01:34:22,5,872,3,1356,257.64,1613,-34.363920027300296,-71.3334142733833,-33.964946801523375,-70.56689342695795
109,177,Briana Burns,44156973,76,2022-06-07 22:20:57,2022-06-07 22:24:57,2022-06-07 23:06:57,1,97021,1,16350,3106.5,19456,-33.622770067839696,-70.5072168311295,-34.17719571392447,-70.55477616068168
110,681,Melissa Jimenez,79409607,23,2022-02-18 05:44:56,2022-02-18 05:52:56,2022-02-18 12:09:56,4,3683,2,18031,3425.89,21456,-34.22423515959032,-71.48044120980732,-34.16303262617072,-71.31977706432109
111,22,Maureen Sanchez,39962692,4,2022-09-26 10:45:23,2022-09-26 10:56:23,2022-09-26 16:35:23,6,6,1,18596,3533.2400000000002,22129,-33.99718076796388,-71.30014036277224,-34.355901730220545,-71.18647792191548
112,940,Savannah Morgan,42088549,83,2022-08-10 22:47:20,2022-08-10 22:48:20,2022-08-11 11:07:20,5,829245366,2,14222,2702.18,16924,-33.61059913398003,-71.1896816832436,-34.20666685570098,-70.76778116446539
113,475,Michelle Leach,84302851,48,2022-05-28 19:41:45,2022-05-28 19:48:45,2022-05-28 20:24:45,6,6804653,3,15535,2951.65,18486,-34.2724270582698,-70.594310228898,-33.92400401231384,-70.94504731901182
114,656,Linda Nielsen,24395793,56,2022-08-24 21:56:03,2022-08-24 22:07:03,2022-08-25 17:12:03,3,0,3,27317,5190.2300000000005,32507,-34.03122972463878,-71.47026539848058,-33.83645103140566,-70.72295905498667
115,845,Lynn Robinson,66561250,58,2022-01-18 07:42:12,2022-01-18 07:57:12,2022-01-18 12:22:12,5,408104,3,4859,923.21,5782,-33.85622595114676,-70.74449461597813,-34.03678223978781,-71.41449943897801
116,597,David Ayers,85115286,12,2022-11-16 14:57:24,2022-11-16 15:00:24,2022-11-17 06:58:24,6,73,2,14270,2711.3,16981,-34.294983142507014,-71.20834599735944,-33.63831669549456,-70.92758766535793
117,609,Laura Andrews,28601708,11,2022-01-09 21:52:56,2022-01-09 22:07:56,2022-01-10 17:02:56,1,22481,3,25419,4829.61,30248,-33.55130227731576,-70.74063902542788,-33.52288458653659,-70.82435479875431
118,387,Charles Lawson,12310824,47,2022-10-28 05:13:26,2022-10-28 05:19:26,2022-10-29 02:39:26,6,3,2,17916,3404.04,21320,-34.44876446056226,-70.56652379864397,-34.17674018176142,-70.75370258652515
119,272,Gregory Donovan,19184424,43,2022-02-17 05:54:51,2022-02-17 05:57:51,2022-02-17 13:34:51,2,809887,2,4515,857.85,5372,-33.70479764917153,-71.17138513159676,-33.88325564354947,-70.59065081245672
120,673,Amanda Jacobs,65836198,69,2022-11-10 00:59:07,2022-11-10 01:06:07,2022-11-10 04:36:07,4,58203569,2,5903,1121.57,7024,-33.94469054702195,-70.51798820606264,-33.95363693872784,-70.93833151724311
121,309,Jason Tapia,99560293,31,2022-04-10 18:52:42,2022-04-10 19:06:42,2022-04-10 21:22:42,5,72478,2,4702,893.38,5595,-34.307049397545,-71.42531811048026,-33.5350803222542,-70.68547525133874
122,338,Cheryl Gutierrez,74920770,72,2022-12-20 03:26:00,2022-12-20 03:31:00,2022-12-20 16:35:00,2,635060,3,4517,858.23,5375,-33.77176763449306,-71.43869461358673,-33.99475377101363,-71.44381821802587
